Input,Filtered
-568.0,-303.476
-568.0,-280.476
-649.0,-261.333
-649.0,-249.19
-501.0,-230.0
-295.0,-214.476
-271.0,-215.524
-271.0,-216.571
-381.0,-239.81
-534.0,-270.333
-534.0,-309.381
-667.0,-345.0
-667.0,-380.619
-715.0,-408.333
-593.0,-430.238
-593.0,-449.048
-485.0,-461.571
-485.0,-474.095
-387.0,-486.333
-319.0,-495.333
-319.0,-497.667
-279.0,-483.905
-279.0,-470.143
-233.0,-450.333
-185.0,-428.238
-185.0,-413.19
-180.0,-407.714
-180.0,-403.381
-214.0,-400.667
-227.0,-393.333
-227.0,-378.714
-219.0,-363.714
-219.0,-342.381
-198.0,-320.048
-179.0,-294.524
-179.0,-274.81
-190.0,-255.619
-190.0,-241.571
-377.0,-236.429
-377.0,-235.952
-359.0,-237.857
-359.0,-239.762
-291.0,-240.333
-242.0,-238.571
-242.0,-239.0
-268.0,-242.952
-268.0,-246.905
-336.0,-254.333
-394.0,-264.524
-394.0,-273.095
-373.0,-280.048
-373.0,-287.0
-339.0,-292.714
-357.0,-299.286
-357.0,-306.857
-367.0,-315.81
-367.0,-324.762
-348.0,-332.286
-301.0,-337.571
-301.0,-333.952
-283.0,-329.476
-283.0,-325.857
-301.0,-323.095
-301.0,-323.571
-376.0,-329.952
-435.0,-339.143
-435.0,-347.095
-410.0,-353.857
-410.0,-357.381
-365.0,-356.0
-174.0,-345.524
-192.0,-336.905
-205.0,-328.905
-205.0,-322.524
-222.0,-316.095
-222.0,-309.667
-234.0,-303.333
-220.0,-296.333
-220.0,-290.238
-203.0,-285.571
-203.0,-280.905
-187.0,-276.333
-187.0,-271.762
-169.0,-265.476
-154.0,-258.476
-154.0,-247.905
-164.0,-235.0
-164.0,-222.095
-216.0,-212.857
-258.0,-205.619
-258.0,-200.524
-278.0,-205.476
-278.0,-209.571
-224.0,-210.476
-227.0,-211.524
-227.0,-211.762
-317.0,-216.286
-317.0,-220.238
-473.0,-232.286
-621.0,-251.381
-621.0,-271.286
-711.0,-295.476
-387.0,-305.0
-381.0,-314.238
-381.0,-324.333
-349.0,-333.619
-349.0,-342.905
-304.0,-349.571
-248.0,-353.571
-248.0,-355.095
-203.0,-352.476
-203.0,-349.857
-179.0,-345.143
-178.0,-340.381
-178.0,-338.19
-173.0,-335.619
-173.0,-333.048
-199.0,-327.429
-239.0,-323.714
-239.0,-312.571
-247.0,-294.762
-247.0,-276.952
-198.0,-252.524
-173.0,-242.333
-173.0,-232.429
-106.0,-219.333
-106.0,-207.762
-46.0,-193.333
-47.0,-181.095
-47.0,-171.524
-87.0,-163.857
-87.0,-158.333
-122.0,-154.476
-119.0,-151.619
-928.0,-187.333
-928.0,-223.048
-767.0,-251.333
-633.0,-273.238
-633.0,-293.905
-536.0,-308.048
-536.0,-322.19
-469.0,-332.762
-424.0,-341.19
-424.0,-351.952
-394.0,-362.476
-394.0,-373.0
-309.0,-382.667
-218.0,-388.0
-218.0,-396.19
-143.0,-400.762
-143.0,-405.333
-103.0,-406.095
-122.0,-407.762
-122.0,-407.762
-120.0,-407.809
-120.0,-369.333
-101.0,-329.952
-73.0,-296.905
-73.0,-270.238
-70.0,-243.429
-70.0,-221.238
-110.0,-200.952
-122.0,-184.429
-122.0,-170.048
-87.0,-154.0
-87.0,-139.381
-624.0,-150.333
-624.0,-165.333
-790.0,-192.571
-790.0,-219.81
-915.0,-256.571
-891.0,-292.19
-891.0,-329.714
-773.0,-360.714
-773.0,-391.714
-606.0,-414.857
-460.0,-431.048
-460.0,-448.143
-369.0,-462.238
-369.0,-476.333
-310.0,-487.762
-275.0,-497.524
-275.0,-505.381
-211.0,-509.619
-211.0,-513.857
-129.0,-515.857
-95.0,-516.238
-95.0,-491.048
-101.0,-466.143
-101.0,-433.333
-104.0,-400.667
-79.0,-360.857
-79.0,-322.19
-21.0,-280.762
-21.0,-244.952
-16.0,-208.905
-16.0,-180.809
60.0,-156.048
-832.0,-173.762
-880.0,-198.095
-880.0,-222.429
-904.0,-250.714
-892.0,-280.095
-892.0,-309.476
-749.0,-335.095
-749.0,-360.714
-526.0,-379.619
-349.0,-391.714
-349.0,-403.81
-253.0,-411.048
-253.0,-418.286
-236.0,-424.571
-246.0,-432.524
-246.0,-440.476
-265.0,-452.095
-265.0,-463.714
-241.0,-474.429
-206.0,-483.476
-206.0,-496.143
-184.0,-465.286
-184.0,-432.143
-72.0,-393.667
53.0,-348.095
53.0,-303.095
163.0,-252.857
163.0,-209.429
251.0,-161.81
229.0,-125.857
229.0,-98.333
115.0,-76.238
-609.0,-93.19
-565.0,-108.048
-565.0,-123.714
-540.0,-137.714
-540.0,-151.714
-473.0,-161.619
-403.0,-168.19
-403.0,-175.905
-363.0,-183.381
-363.0,-190.857
-386.0,-200.476
-382.0,-209.905
-382.0,-224.667
-362.0,-244.429
-362.0,-264.19
-283.0,-285.429
-195.0,-302.476
-195.0,-323.714
-107.0,-339.714
-107.0,-355.714
-35.0,-362.857
50.0,-331.476
50.0,-302.19
138.0,-268.714
138.0,-236.429
157.0,-203.238
84.0,-176.714
84.0,-153.524
-50.0,-136.714
-50.0,-121.81
-74.0,-108.048
-74.0,-93.19
-493.0,-98.476
-493.0,-103.762
-398.0,-105.476
-398.0,-107.19
-400.0,-112.762
-387.0,-121.905
-387.0,-131.048
-379.0,-144.0
-379.0,-156.952
-313.0,-170.19
-177.0,-181.0
-177.0,-191.81
-87.0,-202.524
-87.0,-213.238
-58.0,-223.476
-54.0,-230.048
-54.0,-236.619
-60.0,-237.095
-60.0,-237.571
-42.0,-236.048
-53.0,-235.048
-53.0,-214.095
-53.0,-193.143
-53.0,-176.714
-49.0,-160.095
-99.0,-145.762
-99.0,-132.048
-119.0,-119.286
-119.0,-106.905
-88.0,-93.048
-207.0,-88.0
-207.0,-89.429
-462.0,-103.0
-387.0,-117.286
-387.0,-131.571
-272.0,-141.762
-172.0,-147.381
-172.0,-153.0
-147.0,-157.143
-147.0,-161.286
-152.0,-166.524
-155.0,-171.381
-155.0,-176.238
-138.0,-180.286
-138.0,-184.333
-118.0,-187.619
-167.0,-190.857
-167.0,-194.095
-202.0,-198.048
-202.0,-202.0
-215.0,-208.048
-200.0,-207.714
-200.0,-207.381
-159.0,-192.952
-159.0,-182.095
-145.0,-170.571
-168.0,-165.619
-168.0,-165.429
-183.0,-165.952
-183.0,-167.667
-192.0,-169.81
-164.0,-170.381
-164.0,-170.81
-75.0,-167.0
-96.0,-165.0
-75.0,-162.0
-75.0,-159.952
-127.0,-158.048
-127.0,-156.143
-165.0,-154.381
-33.0,-146.333
-33.0,-137.667
97.0,-123.524
97.0,-109.381
-85.0,-105.857
-80.0,-102.095
-80.0,-99.0
-17.0,-91.81
-17.0,-84.619
-54.0,-78.476
-15.0,-70.476
-15.0,-62.048
82.0,-50.333
82.0,-38.619
-31.0,-36.524
-27.0,-33.238
-27.0,-30.952
-10.0,-27.857
-10.0,-22.286
1.0,-16.19
-15.0,-9.048
-15.0,-8.19
-39.0,-8.476
-39.0,-14.952
-17.0,-20.381
-16.0,-17.095
-14.0,-13.952
-14.0,-10.81
-10.0,-10.476
-10.0,-10.143
-9.0,-8.0
-17.0,-8.095
-17.0,-8.19
-11.0,-12.619
-11.0,-17.048
-10.0,-16.048
-11.0,-15.286
-11.0,-14.524
-11.0,-14.571
-11.0,-14.619
-15.0,-15.381
-10.0,-15.143
-10.0,-14.905
-10.0,-13.524
-10.0,-12.143
-12.0,-11.905
-12.0,-11.714
-12.0,-11.619
-13.0,-11.571
-13.0,-11.714
-11.0,-11.762
-11.0,-11.857
-11.0,-11.571
-12.0,-11.333
-12.0,-11.381
-12.0,-11.429
-12.0,-11.524
-11.0,-11.524
-12.0,-11.571
-12.0,-11.619
-12.0,-11.667
-12.0,-11.524
-12.0,-11.619
-12.0,-11.714
-12.0,-11.81
-12.0,-11.905
-12.0,-11.905
-12.0,-11.905
-12.0,-11.905
-12.0,-11.857
-12.0,-11.81
-11.0,-11.81
-11.0,-11.81
-11.0,-11.81
-12.0,-11.81
-12.0,-11.81
-12.0,-11.81
-12.0,-11.81
-12.0,-11.857
-12.0,-11.857
-11.0,-11.81
-12.0,-11.81
-12.0,-11.81
-11.0,-11.762
-11.0,-11.714
-12.0,-11.714
-11.0,-11.667
-11.0,-11.619
-11.0,-11.571
-11.0,-11.524
-12.0,-11.524
-12.0,-11.524
-12.0,-11.571
-12.0,-11.619
-12.0,-11.667
-12.0,-11.667
-12.0,-11.667
-12.0,-11.667
-12.0,-11.667
-11.0,-11.619
-11.0,-11.571
-12.0,-11.619
-11.0,-11.571
-11.0,-11.524
-12.0,-11.571
-12.0,-11.619
-11.0,-11.571
-12.0,-11.619
-12.0,-11.667
