Input,Filtered
-1081.0,-135.286
473.0,-112.714
285.0,-99.095
285.0,-116.333
-684.0,-193.048
-684.0,-269.762
-1462.0,-386.571
-1369.0,-498.952
-1369.0,-592.952
-1119.0,-664.429
-1119.0,-735.905
-1008.0,-809.667
-1008.0,-883.429
-827.0,-939.429
-488.0,-928.191
-488.0,-916.952
-133.0,-841.286
-133.0,-765.619
268.0,-677.952
611.0,-587.524
611.0,-497.095
880.0,-403.714
880.0,-384.333
797.0,-359.952
411.0,-353.952
411.0,-301.809
199.0,-259.762
199.0,-180.667
197.0,-106.095
102.0,-36.048
102.0,22.095
-321.0,60.095
-321.0,92.81
183.0,149.524
183.0,197.619
331.0,236.619
331.0,275.619
485.0,305.048
542.0,337.19
542.0,350.238
711.0,355.0
711.0,359.762
632.0,347.952
363.0,323.333
363.0,302.667
229.0,294.0
229.0,285.333
20.0,276.81
-191.0,258.238
-191.0,239.762
-477.0,212.19
-477.0,184.619
-1006.0,152.0
-1558.0,93.095
-1558.0,10.19
-1440.0,-67.095
-1440.0,-151.429
-1077.0,-218.476
-897.0,-284.286
-897.0,-352.81
-689.0,-411.429
-689.0,-478.095
-448.0,-533.286
-207.0,-573.238
-207.0,-600.381
169.0,-609.619
64.0,-617.476
64.0,-625.333
-289.0,-640.048
-709.0,-664.714
-709.0,-689.381
-893.0,-709.19
-893.0,-729.0
-1164.0,-736.524
-1281.0,-723.333
-1281.0,-710.143
-1089.0,-693.429
-1089.0,-676.714
-1036.0,-674.762
-954.0,-677.476
-954.0,-680.19
-756.0,-683.381
-756.0,-686.571
-521.0,-690.048
-296.0,-694.286
-296.0,-698.524
-125.0,-712.524
-125.0,-721.524
-8.0,-724.952
129.0,-705.048
129.0,-665.143
279.0,-618.095
279.0,-562.286
451.0,-498.286
451.0,-421.381
461.0,-338.429
496.0,-253.81
-890.0,-244.333
-890.0,-234.857
-1022.0,-234.19
-955.0,-234.238
-955.0,-234.286
-934.0,-242.762
-934.0,-251.238
-932.0,-270.81
-872.0,-298.238
-872.0,-325.667
-707.0,-353.381
-707.0,-381.095
-474.0,-403.286
-313.0,-424.333
-313.0,-445.381
-220.0,-469.143
-220.0,-492.905
-152.0,-521.619
-35.0,-544.762
-35.0,-568.381
117.0,-586.429
117.0,-538.476
218.0,-485.714
240.0,-425.619
240.0,-368.714
201.0,-313.667
201.0,-259.619
184.0,-206.381
196.0,-152.667
196.0,-101.81
196.0,-50.952
196.0,-7.952
-859.0,-15.19
-859.0,-33.524
-941.0,-63.429
-941.0,-93.333
-972.0,-129.143
-975.0,-165.095
-975.0,-204.286
-817.0,-241.524
-817.0,-278.762
-634.0,-314.524
-502.0,-344.0
-502.0,-378.286
-366.0,-407.143
-366.0,-436.0
-208.0,-455.476
-64.0,-468.095
-64.0,-479.905
57.0,-486.524
57.0,-493.143
120.0,-496.762
146.0,-499.143
146.0,-451.286
166.0,-402.476
166.0,-349.762
210.0,-294.952
190.0,-239.619
190.0,-184.143
138.0,-131.143
138.0,-85.667
119.0,-41.095
86.0,-6.81
86.0,21.19
-817.0,6.19
-816.0,-15.238
-816.0,-36.667
-840.0,-66.762
-844.0,-103.905
-844.0,-141.048
-916.0,-187.381
-916.0,-233.714
-798.0,-277.429
-598.0,-312.857
-598.0,-348.286
-449.0,-377.571
-449.0,-406.857
-381.0,-435.0
-310.0,-458.81
-310.0,-482.619
-234.0,-500.333
-234.0,-518.048
-84.0,-527.714
109.0,-526.619
109.0,-525.524
219.0,-476.19
219.0,-426.905
211.0,-378.0
205.0,-328.238
205.0,-278.286
266.0,-225.429
266.0,-169.143
223.0,-114.905
166.0,-69.0
166.0,-32.619
78.0,-0.429
-421.0,0.905
-421.0,2.238
-586.0,-7.524
-957.0,-38.333
-957.0,-69.143
-1123.0,-111.476
-1123.0,-153.81
-1009.0,-197.857
-745.0,-238.524
-745.0,-279.19
-534.0,-315.048
-534.0,-350.905
-461.0,-382.905
-349.0,-409.286
-349.0,-435.667
-169.0,-456.381
-169.0,-477.095
-5.0,-487.952
87.0,-491.714
87.0,-495.476
185.0,-490.381
185.0,-461.524
256.0,-429.286
236.0,-390.143
236.0,-333.333
226.0,-277.0
226.0,-212.762
173.0,-151.048
125.0,-97.048
125.0,-55.619
117.0,-14.571
117.0,16.429
-877.0,0.095
-896.0,-20.619
-720.0,-38.286
-720.0,-55.952
-618.0,-77.333
-618.0,-98.714
-719.0,-132.714
-901.0,-179.762
-901.0,-226.81
-954.0,-281.048
-954.0,-335.286
-787.0,-384.952
-589.0,-424.238
-589.0,-463.524
-482.0,-497.238
-482.0,-530.952
-305.0,-553.714
-104.0,-564.619
-104.0,-575.524
37.0,-579.333
37.0,-583.143
97.0,-536.762
204.0,-484.381
204.0,-440.381
325.0,-390.619
325.0,-345.714
338.0,-300.19
259.0,-253.619
259.0,-198.381
166.0,-147.571
166.0,-94.238
157.0,-41.333
-657.0,-35.143
-582.0,-34.81
-582.0,-34.476
-668.0,-43.333
-668.0,-52.19
-767.0,-74.19
-968.0,-115.333
-968.0,-156.476
-1118.0,-211.476
-1118.0,-266.476
-1058.0,-321.476
-789.0,-368.762
-789.0,-416.048
-547.0,-457.571
-547.0,-499.095
-595.0,-543.524
-634.0,-586.048
-634.0,-628.571
-385.0,-654.81
-385.0,-681.048
5.0,-688.286
231.0,-646.0
231.0,-607.286
266.0,-566.905
266.0,-522.429
306.0,-476.048
296.0,-425.429
296.0,-365.238
362.0,-301.905
362.0,-231.429
393.0,-159.476
257.0,-96.857
-1133.0,-113.238
-1133.0,-129.619
-1253.0,-163.238
-1253.0,-196.857
-1163.0,-223.905
-1081.0,-245.19
-1081.0,-266.476
-1012.0,-296.333
-1012.0,-326.19
-889.0,-368.762
-691.0,-412.667
-691.0,-456.571
-567.0,-496.238
-567.0,-535.905
-484.0,-573.524
-344.0,-604.0
-344.0,-634.476
-56.0,-654.381
-56.0,-674.286
202.0,-683.381
329.0,-679.953
329.0,-610.333
303.0,-541.953
